Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,OTI,Sun,September 12,W,N,H,RAI,38,13,13,17,140,2,0,2,14,9.1,7.4,76.5,139.3,39,205,5.3,3,1,1,5,5,4,200,8,15,0,0,31:04,22,37,150,1,1,4,30,4.9,3.7,59.5,66.3,26,136,5.2,0,3,14,0,2,28:56
2010,2,OTI,Sun,September 19,L,N,H,PIT,11,19,24,35,192,1,3,4,23,6.1,4.9,68.6,55.9,22,46,2.1,0,1,1,0,0,5,244,4,14,1,1,26:20,9,17,21,0,0,4,22,2.5,1.0,52.9,58.7,33,106,3.2,0,2,15,0,0,33:40
2010,3,OTI,Sun,September 26,W,N,A,NYG,29,10,10,16,110,1,0,1,8,7.4,6.5,62.5,103.6,41,161,3.9,2,2,2,3,3,5,214,6,13,0,0,28:22,34,48,364,0,2,2,22,8.0,7.3,70.8,75.3,20,107,5.4,1,6,12,0,2,31:38
2010,4,OTI,Sun,October 3,L,N,H,DEN,20,26,17,28,167,1,0,2,6,6.2,5.6,60.7,89.4,22,121,5.5,0,2,3,2,2,6,245,3,12,0,0,24:42,35,50,308,2,1,6,33,6.8,5.5,70.0,91.1,20,19,1.0,0,3,15,1,2,35:18
2010,5,OTI,Sun,October 10,W,N,A,DAL,34,27,12,25,163,2,0,3,10,6.9,5.8,48.0,95.9,27,158,5.9,2,2,2,4,4,5,174,4,12,0,0,23:16,31,46,370,3,3,6,36,8.8,7.1,67.4,86.3,23,141,6.1,0,7,14,1,2,36:44
2010,6,OTI,Mon,October 18,W,N,A,JAX,30,3,14,21,171,2,0,0,0,8.1,8.1,66.7,123.3,39,153,3.9,1,3,3,3,3,2,98,8,14,1,1,32:45,21,36,173,0,3,2,16,5.3,4.6,58.3,36.0,25,76,3.0,0,3,13,2,4,27:15
2010,7,OTI,Sun,October 24,W,N,H,PHI,37,19,17,31,253,3,2,3,23,8.9,7.4,54.8,87.2,26,75,2.9,0,3,3,4,4,4,192,4,13,0,0,26:36,26,48,227,1,2,1,4,4.8,4.6,54.2,56.5,24,99,4.1,0,10,18,0,0,33:24
2010,8,OTI,Sun,October 31,L,N,A,SDG,25,33,18,36,305,2,0,0,0,8.5,8.5,50.0,97.6,19,65,3.4,1,1,1,2,2,6,279,4,13,1,2,22:13,27,36,300,2,1,1,5,8.5,8.1,75.0,106.3,34,156,4.6,2,12,18,0,0,37:47
2010,10,OTI,Sun,November 14,L,N,A,MIA,17,29,18,38,124,1,1,2,19,3.8,3.1,47.4,53.0,25,135,5.4,1,1,1,2,2,5,209,5,16,0,1,26:56,24,37,316,2,1,1,7,8.7,8.3,64.9,98.5,30,88,2.9,1,9,17,0,1,33:04
2010,11,OTI,Sun,November 21,L,Y,H,WAS,16,19,15,25,222,0,1,1,5,9.1,8.5,60.0,72.4,25,151,6.0,0,3,3,1,1,5,169,3,11,0,0,26:34,30,50,358,1,1,3,18,7.5,6.8,60.0,80.2,33,107,3.2,0,8,16,0,0,40:09
2010,12,OTI,Sun,November 28,L,N,A,HTX,0,20,17,31,138,0,3,1,0,4.5,4.3,54.8,26.7,12,24,2.0,0,0,0,0,0,7,328,3,11,0,0,20:19,25,35,158,2,0,2,20,5.1,4.3,71.4,99.5,39,188,4.8,0,9,18,1,2,39:41
2010,13,OTI,Sun,December 5,L,N,H,JAX,6,17,14,32,163,0,2,1,6,5.3,4.9,43.8,33.7,14,57,4.1,0,2,2,0,0,2,72,2,11,1,3,20:06,14,19,119,0,0,1,7,6.6,6.0,73.7,89.6,53,258,4.9,2,6,15,2,3,39:54
2010,14,OTI,Thu,December 9,L,N,H,CLT,28,30,28,39,244,3,0,0,0,6.3,6.3,71.8,113.6,25,121,4.8,1,0,0,4,4,4,165,5,11,1,2,27:29,25,35,312,2,0,1,7,9.1,8.7,71.4,117.8,32,87,2.7,1,8,15,1,1,32:31
2010,15,OTI,Sun,December 19,W,N,H,HTX,31,17,14,24,212,2,1,3,25,9.9,7.9,58.3,97.9,30,147,4.9,2,1,1,4,4,4,150,3,11,2,2,27:31,35,54,293,2,1,4,32,6.0,5.1,64.8,83.3,17,30,1.8,0,5,13,1,3,32:29
2010,16,OTI,Sun,December 26,L,N,A,KAN,14,34,14,37,213,2,2,3,22,6.4,5.3,37.8,53.1,16,57,3.6,0,0,0,2,2,8,352,3,12,0,1,20:56,25,36,306,3,1,1,6,8.7,8.3,69.4,111.6,40,152,3.8,0,9,18,0,0,39:04
2010,17,OTI,Sun,January 2,L,N,A,CLT,20,23,28,39,290,2,0,1,10,7.7,7.3,71.8,110.0,24,51,2.1,0,2,3,2,2,5,211,6,15,1,1,31:17,27,41,257,2,0,1,7,6.4,6.1,65.9,99.3,25,101,4.0,0,4,11,0,0,28:43
2011,1,OTI,Sun,September 11,L,N,A,JAX,14,16,21,34,249,2,1,2,14,7.7,6.9,61.8,91.4,13,43,3.3,0,0,1,2,2,7,291,4,11,0,0,20:22,17,24,160,0,0,2,15,7.3,6.2,70.8,88.9,47,163,3.5,1,9,18,0,0,39:38
2011,2,OTI,Sun,September 18,W,N,H,RAV,26,13,30,42,358,1,1,0,0,8.5,8.5,71.4,95.1,29,74,2.6,1,4,5,2,2,3,119,7,17,2,2,35:52,15,32,184,1,2,3,13,6.2,5.3,46.9,49.5,17,45,2.6,0,3,10,0,0,24:08
