Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,DEN,Sun,September 12,L,N,A,JAX,17,24,21,33,274,1,1,3,21,8.9,7.6,63.6,87.2,25,89,3.6,1,1,1,2,2,4,172,3,10,1,2,30:30,16,21,165,3,0,1,5,8.1,7.5,76.2,137.9,34,134,3.9,0,3,10,1,2,29:30
2010,2,DEN,Sun,September 19,W,N,H,SEA,31,14,25,35,304,2,0,1,3,8.8,8.4,71.4,116.8,38,65,1.7,2,1,1,4,4,4,205,14,20,0,0,37:27,20,35,230,1,3,1,3,6.7,6.4,57.1,50.9,20,109,5.5,1,7,11,1,2,22:33
2010,3,DEN,Sun,September 26,L,N,H,CLT,13,27,37,57,472,1,1,1,4,8.4,8.1,64.9,89.2,18,47,2.6,0,2,2,1,1,3,143,5,15,1,4,29:52,27,43,325,3,0,0,0,7.6,7.6,62.8,109.2,22,40,1.8,0,6,14,0,0,30:08
2010,4,DEN,Sun,October 3,W,N,A,OTI,26,20,35,50,308,2,1,6,33,6.8,5.5,70.0,91.1,20,19,1.0,0,4,4,2,2,5,208,3,15,1,2,35:18,17,28,167,1,0,2,6,6.2,5.6,60.7,89.4,22,121,5.5,0,3,12,0,0,24:42
2010,5,DEN,Sun,October 10,L,N,A,RAV,17,31,23,38,307,2,0,1,7,8.3,7.9,60.5,103.7,13,39,3.0,0,1,1,2,2,7,281,5,13,0,0,23:43,14,25,182,0,0,1,14,7.8,7.0,56.0,79.1,47,233,5.0,4,7,13,0,1,36:17
2010,6,DEN,Sun,October 17,L,N,H,NYJ,20,24,14,34,201,1,0,1,8,6.1,5.7,41.2,70.8,37,145,3.9,1,2,3,2,2,6,301,7,18,0,1,30:23,17,30,190,1,2,2,8,6.6,5.9,56.7,59.0,30,129,4.3,2,5,13,0,0,29:37
2010,7,DEN,Sun,October 24,L,N,H,RAI,14,59,12,29,165,2,1,4,33,6.8,5.0,41.4,68.9,17,75,4.4,0,0,0,2,2,7,364,2,11,0,2,21:21,12,20,180,2,0,2,24,10.2,8.2,60.0,122.9,52,328,6.3,5,6,13,1,1,38:39
2010,8,DEN,Sun,October 31,L,N,A,SFO,16,24,28,40,339,1,1,4,31,9.3,7.7,70.0,93.6,17,59,3.5,1,1,1,1,2,7,236,2,10,0,0,26:26,12,19,196,1,0,0,0,10.3,10.3,63.2,115.2,42,143,3.4,2,5,13,0,0,33:34
2010,10,DEN,Sun,November 14,W,N,H,KAN,49,29,23,35,299,5,0,0,0,8.5,8.5,65.7,132.0,31,153,4.9,1,0,1,7,7,2,82,6,10,0,1,28:09,33,53,433,4,0,4,36,8.8,7.6,62.3,113.2,22,51,2.3,0,5,13,2,4,31:51
2010,11,DEN,Mon,November 22,L,N,A,SDG,14,35,24,38,172,1,1,5,45,5.7,4.0,63.2,71.4,15,63,4.2,1,0,0,2,2,9,335,1,12,1,1,25:41,16,26,253,4,1,1,8,10.0,9.4,61.5,117.5,38,147,3.9,1,7,14,1,1,34:19
2010,12,DEN,Sun,November 28,L,N,H,RAM,33,36,24,41,330,3,0,3,17,8.5,7.5,58.5,108.8,18,119,6.6,1,2,2,3,3,4,201,1,9,1,2,25:43,22,37,308,3,0,2,0,8.3,7.9,59.5,113.3,35,123,3.5,1,6,16,1,1,34:17
2010,13,DEN,Sun,December 5,L,N,A,KAN,6,10,9,28,86,0,0,4,31,4.2,2.7,32.1,41.7,23,161,7.0,0,2,2,0,0,7,288,3,12,0,0,22:46,17,31,174,1,0,2,22,6.3,5.3,54.8,81.9,39,185,4.7,0,6,14,0,1,37:14
2010,14,DEN,Sun,December 12,L,N,A,CRD,13,43,19,41,156,0,3,1,10,4.0,3.7,46.3,26.1,31,132,4.3,1,2,3,1,1,5,281,3,15,0,1,29:39,15,38,146,0,0,0,0,3.8,3.8,39.5,51.0,34,211,6.2,3,4,16,1,1,30:21
2010,15,DEN,Sun,December 19,L,N,A,RAI,23,39,8,16,129,1,0,2,9,8.6,7.2,50.0,98.2,33,106,3.2,1,3,3,2,2,7,307,2,12,0,0,26:03,15,26,238,1,2,0,0,9.2,9.2,57.7,69.1,41,264,6.4,3,2,11,1,1,33:57
