Season,Week,Tm_abb,Day,Date,W/L,OT,H/A,Opp_abb,Tm_score,Opp_score,O_P_Cmp,O_P_Att,O_P_Yds,O_P_TD,O_Int,O_Sk,O_Yds_lost_Sk,O_P_Y/A,O_P_NY/A,O_P_Cmp_pct,O_QBR,O_R_Att,O_R_Yds,O_R_Y/A,O_R_TD,FGM,FGA,XPM,XPA,Pnt,Pnt_Yds,O_3D_Conv,O_3D_Att,O_4D_Conv,O_4D_Att,O_ToP,D_P_Cmp,D_P_Att,D_P_Yds,D_P_TD,D_Int,D_Sk,D_Yds_lost_Sk,D_P_Y/A,D_P_NY/A,D_P_Cmp_pct,D_QBR,D_R_Att,D_R_Yds,D_R_Y/A,D_R_TD,D_3D_Conv,D_3D_Att,D_4D_Conv,D_4D_Att,D_ToP
2010,1,KAN,Mon,September 13,W,N,H,SDG,21,14,10,22,62,1,0,1,6,3.1,2.7,45.5,67.6,26,135,5.2,1,0,0,3,3,9,344,1,11,0,1,22:32,22,39,280,2,0,2,18,7.6,6.8,56.4,96.1,29,109,3.8,0,4,15,1,3,37:28
2010,2,KAN,Sun,September 19,W,N,A,CLE,16,14,16,28,172,0,2,1,4,6.3,5.9,57.1,45.5,39,140,3.6,0,3,3,1,1,6,249,5,15,1,1,33:13,16,31,226,1,1,1,3,7.4,7.1,51.6,72.8,26,73,2.8,1,4,13,0,0,26:47
2010,3,KAN,Sun,September 26,W,N,H,SFO,31,10,16,27,250,3,1,0,0,9.3,9.3,59.3,111.7,39,207,5.3,1,1,2,4,4,4,177,7,14,1,2,33:50,23,42,208,1,1,5,24,5.5,4.4,54.8,66.4,15,43,2.9,0,4,17,2,3,26:10
2010,5,KAN,Sun,October 10,L,N,A,CLT,9,19,16,29,148,0,0,1,8,5.4,4.9,55.2,69.3,27,113,4.2,0,3,4,0,0,4,212,1,10,1,2,25:35,26,44,244,0,1,1,0,5.5,5.4,59.1,65.0,31,97,3.1,1,8,17,0,1,34:25
2010,6,KAN,Sun,October 17,L,N,A,HTX,31,35,20,29,189,3,0,1,12,6.9,6.3,69.0,121.2,38,228,6.0,1,1,1,4,4,4,202,9,16,1,1,33:28,25,33,289,2,0,2,16,9.2,8.3,75.8,121.9,22,132,6.0,3,5,10,1,1,26:32
2010,7,KAN,Sun,October 24,W,N,H,JAX,42,20,13,18,190,2,0,1,3,10.7,10.0,72.2,143.3,42,236,5.6,3,0,0,6,6,3,136,6,11,1,2,34:00,18,34,216,2,2,1,6,6.5,6.2,52.9,67.8,23,84,3.7,0,3,10,1,1,26:00
2010,8,KAN,Sun,October 31,W,Y,H,BUF,13,10,14,26,140,1,0,3,12,5.8,4.8,53.8,82.2,45,274,6.1,0,2,3,1,1,6,260,4,15,1,2,35:38,24,48,191,1,1,3,32,4.6,3.7,50.0,58.6,33,137,4.2,0,11,23,1,2,39:22
2010,9,KAN,Sun,November 7,L,Y,A,RAI,20,23,20,35,200,2,1,3,16,6.2,5.3,57.1,80.7,34,104,3.1,0,2,2,2,2,9,384,3,15,0,1,33:10,19,34,209,1,1,4,20,6.7,5.5,55.9,71.8,26,112,4.3,0,3,12,0,1,29:43
2010,10,KAN,Sun,November 14,L,N,A,DEN,29,49,33,53,433,4,0,4,36,8.8,7.6,62.3,113.2,22,51,2.3,0,1,2,2,2,3,130,5,13,2,4,31:51,23,35,299,5,0,0,0,8.5,8.5,65.7,132.0,31,153,4.9,1,6,10,0,1,28:09
2010,11,KAN,Sun,November 21,W,N,H,CRD,31,13,15,24,193,2,0,0,0,8.0,8.0,62.5,115.5,29,159,5.5,2,1,1,4,4,5,264,4,11,0,1,27:38,25,46,281,1,0,2,14,6.4,5.9,54.3,80.1,20,101,5.1,0,4,15,1,2,32:22
2010,12,KAN,Sun,November 28,W,N,A,SEA,42,24,22,32,233,4,0,0,0,7.3,7.3,68.8,129.3,48,270,5.6,2,0,1,6,6,5,182,11,17,0,0,41:03,20,37,268,2,2,2,14,7.6,6.9,54.1,72.8,12,20,1.7,0,3,12,0,2,18:57
2010,13,KAN,Sun,December 5,W,N,H,DEN,10,6,17,31,174,1,0,2,22,6.3,5.3,54.8,81.9,39,185,4.7,0,1,1,1,1,7,293,6,14,0,1,37:14,9,28,86,0,0,4,31,4.2,2.7,32.1,41.7,23,161,7.0,0,3,12,0,0,22:46
2010,14,KAN,Sun,December 12,L,N,A,SDG,0,31,9,20,19,0,0,4,29,2.4,0.8,45.0,52.1,17,48,2.8,0,0,0,0,0,8,365,0,11,1,1,19:50,18,24,219,2,1,2,7,9.4,8.4,75.0,113.0,43,207,4.8,2,11,15,0,0,40:10
2010,15,KAN,Sun,December 19,W,N,A,RAM,27,13,15,29,173,1,1,3,11,6.3,5.4,51.7,67.2,42,210,5.0,2,2,2,3,3,6,285,5,17,1,2,31:44,21,43,155,0,2,3,26,4.2,3.4,48.8,38.4,21,69,3.3,1,6,17,0,1,28:16
2010,16,KAN,Sun,December 26,W,N,H,OTI,34,14,25,36,306,3,1,1,6,8.7,8.3,69.4,111.6,40,152,3.8,0,2,3,4,4,5,232,9,18,0,0,39:04,14,37,213,2,2,3,22,6.4,5.3,37.8,53.1,16,57,3.6,0,3,12,0,1,20:56
